group,scenario,method,run_dir,layers,neurons,param_count,best_stage,best_objective,run_time_seconds
method_refine5000,nsga2_lbfgs5000,nsga2,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga2/L6_N132,6,132,143283,lbfgs,0.0049284580163657665,1858.1849118061364
baseline_refine5000,baseline_from_adam_lbfgs5000,baseline,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline_adam_refine5000/lbfgs/L5_N96,5,96,57942,lbfgs,0.008148607797920704,1219.6972296610475
method_refine5000,nsga3_lbfgs5000,nsga3,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga3/L6_N141,6,141,163200,lbfgs,0.01512310653924942,1742.478184627369
method_refine5000,bayesian_lbfgs5000,bayesian,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/bayesian/L5_N121,5,121,91167,lbfgs,0.021403033286333084,1554.7049922998995
pipeline_final,bayesian_pipeline_final,bayesian,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/pipeline/bayesian/final/L5_N121,5,121,91167,adam,0.027310121804475784,714.9365210849792
baseline,baseline_original,baseline,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline/L5_N96,5,96,57942,lbfgs,3.2609121799468994,647.2466388698667
pipeline_final,nsga2_pipeline_final,nsga2,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/pipeline/nsga2/final/L6_N132,6,132,143283,lbfgs,4.310217380523682,903.7650693077594
pipeline_final,nsga3_pipeline_final,nsga3,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/pipeline/nsga3/final/L6_N141,6,141,163200,lbfgs,5.451700687408447,926.456865593791
baseline_refine5000,baseline_from_adam_pso,baseline,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline_adam_refine5000/pso/L5_N96,5,96,57942,adam,19.5635929107666,14.1950598731637
method_refine5000,nsga3_pso,nsga3,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/pso/nsga3/L6_N141,6,141,163200,adam,94.10630798339844,91.64305600337684
method_refine5000,nsga2_pso,nsga2,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/pso/nsga2/L6_N132,6,132,143283,adam,97.24772644042969,84.67181093245745
method_refine5000,bayesian_pso,bayesian,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/pso/bayesian/L5_N121,5,121,91167,adam,148.88018798828125,65.37042860500515
